concurrency,successful_requests,error_percentage,rate_limit,throughput,average_latency,timeout
300,909956,1416.593,10000,3384.598218,135,60
300,561510,835.85,10000,2160.50974,164,100
300,372919,521.532,10000,1043.553329,177,140
300,1141374,851.145,20000,3837.98318,98,20
300,946764,688.97,20000,3406.769306,101,60
300,796778,563.982,20000,2212.633017,144,100
300,417259,247.716,20000,1158.72769,173,140
300,1391462,479.776,40000,3864.5496,103,20
300,1187770,394.904,40000,3505.338708,105,60
300,696236,190.098,40000,2264.115847,134,100
300,383276,59.698,40000,1376.917495,161,140
300,1106480,207.356,60000,3921.140458,94,20
300,890892,147.47,60000,3554.085699,101,60
300,660340,83.428,60000,2454.950685,121,100
300,561846,50.068,60000,1560.236932,156,140
